Price,Company,Processor,Operating System,RAM,Type,Warranty,Inches,TouchScreen,HDD,SSD
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
34490,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
54990,Acer,Intel Core i5 Processor (12th Gen),Windows11,8,Swift,1 Year Onsite Warranty,14,NO,,512
79990,APPLE,Apple M1 Processor,Mac,8,MacBook Air,,,NO,,256
36490,DELL,Intel Core i3 Processor (11th Gen),64bitWindows11,8,Inspiron,,,NO,,512
63990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
38990,HP,Intel Core i3 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
30990,HP,AMD Athlon Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
78990,Lenovo,Intel Core i5 Processor (12th Gen),Windows11,16,N\A,1 Year Carry-in Warranty,15.6,NO,,512
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,8,N\A,1 Year Carry-in Warranty,14,NO,,512
20999,HP,AMD Athlon Dual Core Processor,DOS,4,N\A,1 Year Onsite Warranty,15.6,NO,,256
52790,DELL,Intel Core i5 Processor (11th Gen),64bitWindows11,16,Inspiron,1 Year Onsite Warranty,15.6,NO,,512
54990,HP,Intel Core i5 Processor (11th Gen),64bitWindows11,16,N\A,1 Year Onsite Warranty,15.6,NO,,512
35990,Lenovo,Intel Core i3 Processor (12th Gen),Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
43990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,16,N\A,1 Year Carry-in Warranty,14,NO,,512
60990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows11,16,IdeaPad,1 Year Carry-in Warranty,14,NO,,512
36990,HP,AMD Ryzen 3 Quad Core Processor,64bitWindows11,8,N\A,1 Year onsite warranty,14,NO,,512
40850,HP,Intel Core i3 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
69990,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection,14,NO,,512
86990,Lenovo,Intel Core i7 Processor (13th Gen),Windows11,16,IdeaPad,1 Year Carry-in Warranty,16,NO,,512
36499,Lenovo,Intel Core i3 Processor (11th Gen),64bitWindows11,8,IdeaPad,2 Year warranty,15.6,NO,,512
62890,ASUS,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,VivoBook,1 Year Onsite Warranty,16,NO,,512
34490,DELL,Intel Core i3 Processor (11th Gen),DOS,8,N\A,1 Year Onsite Warranty,14,NO,,512
46990,Lenovo,Intel Core i5 Processor (11th Gen),64bitWindows11,8,IdeaPad,1Year Onsite warranty,,NO,,512
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
63990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
32990,Acer,Intel Core i3 Processor (12th Gen),64bitWindows11,8,N\A,1 Year International Travelers Warranty,15.6,NO,,512
78990,Lenovo,Intel Core i5 Processor (12th Gen),Windows11,16,N\A,1 Year Carry-in Warranty,15.6,NO,,512
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
43990,ASUS,Intel Core i5 Processor (11th Gen),64bitWindows11,8,VivoBook,1 Year Onsite Warranty,15.6,NO,,512
29990,ASUS,Intel Core i3 Processor (11th Gen),64bitWindows11,8,VivoBook,1 Year Onsite Warranty,15.6,NO,,256
57990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,16,N\A,1 Year Onsite Warranty,,NO,,512
50990,realme,Intel Core i5 Processor (11th Gen),Windows11,16,Realme Book,1 Year Domestic Warranty,,NO,,512
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,8,N\A,1 Year Carry-in Warranty,14,NO,,512
43990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,16,N\A,1 Year Carry-in Warranty,14,NO,,512
35990,HP,Intel Core i3 Processor (11th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,,NO,,256
36990,DELL,Intel Core i3 Processor (11th Gen),64bitWindows11,8,Inspiron,,15.6,NO,,512
69990,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection,14,NO,,512
60990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows11,16,IdeaPad,1 Year Carry-in Warranty,14,NO,,512
79990,APPLE,Apple M1 Processor,Mac,8,MacBook Air,,,NO,,256
30749,Lenovo,AMD Ryzen 3 Hexa Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
79990,APPLE,Apple M1 Processor,Mac,8,MacBook Air,,,NO,,256
23990,Acer,Intel Core i3 Processor (11th Gen),64bitWindows11,8,N\A,1 Year Warranty,14,NO,,256
86990,Lenovo,Intel Core i7 Processor (13th Gen),Windows11,16,IdeaPad,1 Year Carry-in Warranty,16,NO,,512
59990,MSI,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Warranty Term,,NO,,512
59990,MSI,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Warranty Term,,NO,,512
46990,ASUS,Intel Core i5 Processor (11th Gen),Windows11,16,VivoBook,1 Year Onsite Warranty,15.6,NO,,512
56990,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,8,IdeaPad,1 Year Carry-in Warranty,,NO,,512
69990,Lenovo,Intel Core i5 Processor (12th Gen),Windows11,16,IdeaPad,1 Year Carry-in Warranty,,NO,,512
26990,Infinix,Intel Core i3 Processor (11th Gen),64bitWindows11,8,N\A,1 year Onsite Warranty,,NO,,512
25990,Acer,AMD Ryzen 3 Dual Core Processor,64bitWindows11,8,N\A,1 Year International Travelers Warranty (ITW),,NO,,256
43990,HP,Intel Core i3 Processor (12th Gen),Windows11,16,N\A,1 Year Onsite Warranty,15.6,NO,,512
63990,SAMSUNG,Intel Core i5 Processor (12th Gen),64bitWindows11,16,N\A,1 Year Onsite Warranty,15.6,NO,,512
63990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
42490,HP,AMD Ryzen 5 Hexa Core Processor,64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
40990,Lenovo,AMD Ryzen 5 Hexa Core Processor,64bitWindows11,8,IdeaPad,2 Year warranty,15.6,NO,,512
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
26990,Infinix,Intel Core i3 Processor (10th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,,NO,,256
37890,HP,Intel Core i3 Processor (11th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,,NO,,512
43990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,16,N\A,1 Year Carry-in Warranty,14,NO,,512
37990,Infinix,Intel Core i5 Processor (12th Gen),Windows11,16,N\A,1 Year Onsite Warranty,14,NO,,512
55490,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,8,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,15.6,NO,,512
57990,HP,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Onsite Warranty,14,NO,,512
38490,HP,Intel Core i3 Processor,64bitWindows11,8,N\A,1 Year Onsite Warranty,14,NO,,512
34990,Acer,AMD Ryzen 5 Quad Core Processor,64bitWindows11,8,N\A,1 Year International Travelers Warranty,15.6,NO,,512
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,8,N\A,1 Year Carry-in Warranty,14,NO,,512
114990,Lenovo,Intel Core i7 Processor (13th Gen),Windows11,16,N\A,1 Year Carry-in Warranty,15.6,NO,,512
47990,Acer,Intel Core i5 Processor (12th Gen),64bitWindows11,16,Aspire,1 Year International Travelers Warranty,15.6,NO,,512
38990,MSI,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Carry-in warranty,14,NO,,512
29990,SAMSUNG,Qualcomm Snapdragon 7c Gen 2 Processor,Windows11,4,Galaxy Book,1 Year Onsite Warranty,14,NO,,
72990,HP,Intel Core i5 Processor (12th Gen),Windows11,16,Pavilion,1 Year Onsite Warranty,14,YES,,512
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
