Price,Company,Processor,Operating System,RAM,Display,Storage,Type,Warranty
58990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
57990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
34490,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
54990,Acer,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,Swift,1 Year Onsite Warranty
79990,APPLE,Apple M1 Processor,Mac OS Operating System,8,33.78 cm (13.3 inch) Display,256 GB SSD,MacBook Air,
36490,DELL,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,96.52 cm (38 cm) Display,512 GB SSD,Inspiron,
63990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
38990,HP,Intel Core i3 Processor (11th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
30990,HP,AMD Athlon Dual Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
78990,Lenovo,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
20999,HP,AMD Athlon Dual Core Processor,DOS Operating System,4,39.62 cm (15.6 Inch) Display,256 GB SSD,N\A,1 Year Onsite Warranty
52790,DELL,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,Inspiron,1 Year Onsite Warranty
54990,HP,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
35990,Lenovo,Intel Core i3 Processor (12th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
43990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
60990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,IdeaPad,1 Year Carry-in Warranty
36990,HP,AMD Ryzen 3 Quad Core Processor,64 bit Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year onsite warranty
40850,HP,Intel Core i3 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
69990,Lenovo,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection
86990,Lenovo,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,16,40.64 cm (16 Inch) Display,512 GB SSD,IdeaPad,1 Year Carry-in Warranty
36499,Lenovo,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,IdeaPad,2 Year warranty
62890,ASUS,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,40.64 cm (16 Inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
34490,DELL,Intel Core i3 Processor (11th Gen),DOS Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
46990,Lenovo,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,512 GB SSD,IdeaPad,1Year Onsite warranty
58990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
63990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
57990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
32990,Acer,Intel Core i3 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year International Travelers Warranty
78990,Lenovo,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
43990,ASUS,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
29990,ASUS,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,256 GB SSD,VivoBook,1 Year Onsite Warranty
57990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,35.56 cm (14 inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
50990,realme,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,35.56 cm (14 inch) Display,512 GB SSD,Realme Book,1 Year Domestic Warranty
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
