,Product Name,Features,Price
0,HP Victus Core i5 11th Gen 11400H,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '40.89 cm (16.1 Inch) Display', '1 Year Onsite Warranty']","₹58,990"
1,HP Victus Core i5 11th Gen 11400H,"['Intel Core i5 Processor (11th Gen)', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '40.89 cm (16.1 Inch) Display', '1 Year Onsite Warranty']","₹57,990"
2,Lenovo V15 Ryzen 5 Hexa Core 5500U,"['AMD Ryzen 5 Hexa Core Processor', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹34,490"
3,HP 2023 Ryzen 3 Dual Core 3250U,"['AMD Ryzen 3 Dual Core Processor', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹32,990"
4,Acer Swift 3 Intel EVO Core i5 12th Gen 12500H,"['Intel Core i5 Processor (12th Gen)', '8 GB LPDDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Onsite Warranty']","₹54,990"
5,APPLE 2020 Macbook Air M1,"['Apple M1 Processor', '8 GB DDR4 RAM', 'Mac OS Operating System', '256 GB SSD', '33.78 cm (13.3 inch) Display', '1 Year Limited Warra\xadnty']","₹79,990"
6,DELL Inspiron Core i3 11th Gen 1115G4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '96.52 cm (38 cm) Display', 'Microsoft Office Home & Student 2021', '1 Year Onsite Hardware Service']","₹36,490"
7,HP Victus Core i5 12th Gen 12450H,"['Intel Core i5 Processor (12th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹63,990"
8,HP Laptop Core i3 11th Gen 1115G4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹38,990"
9,HP 2023 Athlon Dual Core 3050U,"['AMD Athlon Dual Core Processor', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹30,990"
10,Lenovo LOQ Intel Core i5 12th Gen 12450H,"['Intel Core i5 Processor (12th Gen)', '16 GB DDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Carry-in Warranty']","₹78,990"
11,MSI Ryzen 5 Hexa Core 7530U,"['AMD Ryzen 5 Hexa Core Processor', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']","₹40,990"
12,HP 255 G9 840T7PA Athlon Dual Core 3050U,"['AMD Athlon Dual Core Processor', '4 GB DDR4 RAM', 'DOS Operating System', '256 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹20,999"
13,DELL Inspiron Core i5 11th Gen 1135G7,"['Intel Core i5 Processor (11th Gen)', '16 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹52,790"
14,HP (2023) Intel Core i5 11th Gen 1155G7,"['Intel Core i5 Processor (11th Gen)', '16 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹54,990"
15,Lenovo V15 Core i3 12th Gen 1215U,"['Intel Core i3 Processor (12th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹35,990"
16,MSI Ryzen 5 Hexa Core 7530U,"['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']","₹43,990"
17,Lenovo IdeaPad Slim 5 AMD Ryzen 5 Hexa Core 7530U,"['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Carry-in Warranty']","₹60,990"
18,HP Ryzen 3 Quad Core 5300U,"['AMD Ryzen 3 Quad Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year onsite warranty']","₹36,990"
19,HP Intel Core i3 12th Gen 1215U,"['Intel Core i3 Processor (12th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Onsite Warranty']","₹40,850"
20,Lenovo Yoga Slim 7 Pro Intel Evo Core i5 11th Gen 11320H,"['Intel Core i5 Processor (11th Gen)', '16 GB LPDDR4X RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection']","₹69,990"
21,Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H,"['Intel Core i7 Processor (13th Gen)', '16 GB LPDDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '40.64 cm (16 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Carry-in Warranty']","₹86,990"
22,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 1115G4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Office Home and Student 2021', '2 Year warranty']","₹36,499"
23,ASUS VivoBook 16X Ryzen 7 Octa Core 5800H,"['AMD Ryzen 7 Octa Core Processor', '16 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '40.64 cm (16 Inch) Display', '1 Year Onsite Warranty']","₹62,890"
24,DELL Core i3 11th Gen 1115G4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', 'DOS Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Onsite Warranty']","₹34,490"
25,Lenovo IdeaPad Slim 3 Core i5 11th Gen 1135G7,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1Year Onsite warranty']","₹46,990"
26,HP Victus Core i5 11th Gen 11400H,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '40.89 cm (16.1 Inch) Display', '1 Year Onsite Warranty']","₹58,990"
27,HP Victus Core i5 12th Gen 12450H,"['Intel Core i5 Processor (12th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']","₹63,990"
